section	citation	journal_year	cohort_size	specimen	sequencing_method	clinical_population	central_scientific_question	main_analysis	main_finding	conceptual_contribution	relationship_and_legitimate_framework	must_not_claim	source
D	Tang H et al. Bronchoalveolar lavage fluid metagenomic datasets: a multidimensional clinical biomolecular resource.	Scientific Data 2025	402 cases plus 32 DNA and 32 RNA negative controls	BALF DNA and RNA	Clinical mNGS with released processed matrices and pipelines	Same cancer/infection cohort as Han et al.	Can the cohort and multimodal processing workflows be made reusable?	Technical validation; pipeline and data description	Released non-host reads, matrices, negative-control metadata, GSE252118 host expression, Figshare results, and GitHub code.	Establishes data provenance and available independent modalities/controls.	Use its metadata, controls, RNA matrix, and code for reproducibility audits.	The public 400 DNA runs are an independent cohort or the RNA data are external validation.	https://doi.org/10.1038/s41597-025-06171-6
D	Huang YJ et al. The airway microbiome in patients with severe asthma: associations with disease features and severity.	J Allergy Clin Immunol 2015	40 BAL participants in the bronchoscopic arm	BAL and bronchial brush	16S rRNA sequencing	Severe asthma and controls	Do lower-airway communities track asthma severity and inflammatory phenotype?	Community/taxon associations with clinical traits	Airway microbial patterns were associated with disease features, with strong dependence on treatment and phenotype context.	Illustrates that diagnosis alone is a coarse explanatory variable.	Frame heterogeneity around measured covariates and phenotype depth.	A cross-disease BAL association is a disease mechanism without treatment and severity metadata.	https://doi.org/10.1016/j.jaci.2015.05.044
D	Tsay JJ et al. Airway microbiota is associated with upregulation of the PI3K pathway in lung cancer.	Am J Respir Crit Care Med 2018	39	Lower-airway samples and paired airway/tissue measurements	16S sequencing with host pathway assays	Patients with lung nodules/lung cancer	Is lower-airway dysbiosis linked to a host oncogenic pathway?	Microbiome–host pathway association and experimental validation	Oral taxa enrichment was associated with airway PI3K signaling; causality required complementary models.	Shows the evidence needed to move from ecology to mechanism.	Borrow the layered taxonomy–host–experiment framework if independent host data are analyzed.	P. gingivalis or P. micra abundance in our observational data activates PI3K or promotes cancer.	https://doi.org/10.1164/rccm.201710-2118OC
D	Tsay JJ et al. Lower airway dysbiosis affects lung cancer progression.	Cancer Discovery 2021	83	Lower-airway samples with clinical follow-up	16S sequencing; host immune profiling; mouse experiments	Non-small-cell lung cancer	Does oral-taxa-enriched lower-airway dysbiosis associate with prognosis and tumor immunity?	Survival/immune associations plus experimental perturbation	SPT enrichment associated with worse outcomes and inflammatory tumor biology.	Strong precedent that oral signals can be clinically relevant, but only with outcome and mechanistic support.	Use as rationale for independently defined SPT-like ecology.	Our cross-sectional four-diagnosis data support prognosis, tumor progression, or causal oncogenesis.	https://doi.org/10.1158/2159-8290.CD-20-0263
D	Dickson RP et al. Lung microbiota predict clinical outcomes in critically ill patients.	Am J Respir Crit Care Med 2020	91	Endotracheal aspirate/BAL-type lower respiratory samples	16S sequencing	Mechanically ventilated critically ill adults	Does lower-airway ecology predict outcomes beyond pathogen detection?	Community composition, bacterial burden, clinical-outcome models	Enrichment with gut-associated bacteria and higher burden tracked adverse outcomes.	Demonstrates ecological heterogeneity can outperform simple diagnostic categories when outcomes are independent.	Use independent outcomes and burden as validation targets where available.	Relative taxonomy in our dataset predicts outcome; no outcome data are available.	https://doi.org/10.1164/rccm.201907-1480OC
E	Fernandes AD et al. Unifying the analysis of high-throughput sequencing datasets: characterizing RNA-seq, 16S rRNA gene sequencing and selective growth experiments by compositional data analysis.	Microbiome 2014	Simulation plus several benchmark datasets	Methodological datasets	Count-sequencing methods	General sequencing data	How should relative count data be analyzed compositionally?	Log-ratio Monte Carlo differential testing (ALDEx2)	Compositional treatment reduced false interpretation caused by library constraints.	Supports log-ratio sensitivity rather than raw relative-abundance inference alone.	Use CLR/Aitchison and effect-size sensitivity as robustness tools.	A different method makes a biologically overlapping taxon novel.	https://doi.org/10.1186/2049-2618-2-15
E	Mandal S et al. Analysis of composition of microbiomes: a novel method for studying microbial composition.	Microbial Ecology in Health and Disease 2015	Simulation and benchmark microbiome datasets	Methodological datasets	16S/count-data method	General microbiome data	Can differential taxa be detected while respecting compositional constraints?	ANCOM log-ratio testing	ANCOM controlled false discoveries under compositional sampling better than naive tests in benchmarks.	Established a differential-abundance approach based on inter-feature log ratios.	Supports prospective compositional differential testing in our cohort.	ANCOM/CLR significance alone validates biomarkers or mechanisms.	https://doi.org/10.3402/mehd.v26.27663
E	Anderson MJ. Distance-based tests for homogeneity of multivariate dispersions.	Biometrics 2006	Simulation and ecological datasets	Methodological datasets	Distance-based method	General multivariate ecology	How can group dispersion be tested separately from centroid/location effects?	PERMDISP	Provided a permutation test for multivariate dispersion.	Directly explains why our significant Bray PERMANOVA is not an unqualified centroid result.	Pair every PERMANOVA interpretation with dispersion assessment.	PERMANOVA significance necessarily means disease centroids differ.	https://doi.org/10.1111/j.1541-0420.2005.00440.x
F	Sulaiman I et al. Functional lower airways genomic profiling of the microbiome to capture active microbial metabolism.	European Respiratory Journal 2021	21 recruited; 19 with adequate metatranscriptomes	Upper airway, BAL, background controls, SCFA measurements	16S, shotgun WGS, metatranscriptomics	Healthy smokers	Which assay best captures active lower-airway microbial metabolism?	Cross-omic pathway comparisons and correlation with measured SCFAs; mouse aspiration model	Inferred, DNA, and RNA functions differed; WGS/RNA correlated better with SCFAs; RNA best captured transient activity.	Sets a high bar for calling an active microbiome: RNA plus an independent product/host readout.	Use paired DNA–RNA concordance and external functional endpoints as the framework.	HUMAnN DNA pathways or RNA taxonomic detection alone prove activity or mechanism.	https://doi.org/10.1183/13993003.03434-2020
F	Langelier C et al. Integrating host response and unbiased microbe detection for lower respiratory tract infection diagnosis in critically ill adults.	PNAS 2018	92	BAL	Metatranscriptomic sequencing	Critically ill adults with suspected lower respiratory infection	Can a single BAL metatranscriptome combine pathogen and host-response evidence?	Microbial detection plus host-expression classifier	Joint host–microbe information improved discrimination of infection from noninfectious illness.	Shows a genuinely distinct functional direction needs an independent RNA/host question and clinical target.	Use deposited RNA/GSE data only for a prespecified, non-duplicative validation question.	Rebuilding a classifier in PRJNA1056765 is novel or externally validated.	https://doi.org/10.1073/pnas.1809700115
F	Sulaiman I et al. Microbial signatures in the lower airways of mechanically ventilated COVID-19 patients associated with poor clinical outcome.	Nature Microbiology 2021	142	Lower-airway samples from mechanically ventilated patients	Shotgun/metatranscriptomic profiling	Severe COVID-19	Do lower-airway microbial signals associate with outcome and host response?	Microbial burden/composition, host transcriptome, longitudinal outcome associations	Poor outcome was associated with altered lower-airway ecology and host–microbe features.	Demonstrates the value of independent outcomes and host response in functional interpretation.	Use as a multi-omic design precedent, not as evidence for these four diagnoses.	Our taxa predict COVID-like outcomes or carry the same mechanism.	https://doi.org/10.1038/s41564-021-00961-5
